"","Year","province","Unemployment_Rate","total_Crimes","Population","crimes_per_capita"
"1",2013,"Nederland",8.2,1105565,16779575,6.58875448275657
"2",2014,"Nederland",8.3,1025630,16829289,6.0943156897478
"3",2015,"Nederland",7.9,978945,16900726,5.79232513443505
"4",2016,"Nederland",7,930325,16979120,5.47922978340456
"5",2017,"Nederland",5.9,832950,17081507,4.87632619299925
"6",2018,"Nederland",4.9,786420,17181084,4.57724320537633
"7",2019,"Nederland",4.4,821905,17282163,4.75579937534439
"8",2020,"Nederland",4.9,813150,17407585,4.67123957746006
"9",2021,"Nederland",4.2,758065,17475415,4.33789412154161
"10",2022,"Nederland",3.5,810550,17580672,4.61046085155334
"11",2023,"Nederland",3.6,816375,17811291,4.58346899166377
"12",2024,"Nederland",3.7,811885,17942942,4.52481538423298
"13",2013,"Groningen (PV)",9,34450,581705,5.92224581188059
"14",2014,"Groningen (PV)",9.3,30715,582728,5.27089825784929
"15",2015,"Groningen (PV)",9.5,30065,583942,5.14862777467625
"16",2016,"Groningen (PV)",8.4,29570,583721,5.06577628695901
"17",2017,"Groningen (PV)",7.2,24990,583581,4.28218190790996
"18",2018,"Groningen (PV)",6.3,24065,582944,4.12818383927101
"19",2019,"Groningen (PV)",5.6,24935,583990,4.26976489323447
"20",2020,"Groningen (PV)",5.6,23830,585866,4.06748300805986
"21",2021,"Groningen (PV)",4.9,23350,586937,3.97828046280947
"22",2022,"Groningen (PV)",4,25390,590170,4.30215022790044
"23",2023,"Groningen (PV)",4,26885,596075,4.51033846411945
"24",2024,"Groningen (PV)",4.2,26030,601347,4.3286155913308
"25",2013,"Fryslân (PV)",8.9,28760,646862,4.44607968933096
"26",2014,"Fryslân (PV)",8.8,27620,646317,4.27344476472072
"27",2015,"Fryslân (PV)",8.4,26585,646257,4.11368851710697
"28",2016,"Fryslân (PV)",7.3,24600,646040,3.80781375766206
"29",2017,"Fryslân (PV)",6.2,21140,646874,3.26802437568986
"30",2018,"Fryslân (PV)",5.2,22010,647268,3.40044618303392
"31",2019,"Fryslân (PV)",4.4,22260,647672,3.43692486320236
"32",2020,"Fryslân (PV)",4.8,22135,649957,3.40560990957863
"33",2021,"Fryslân (PV)",4.1,20380,651435,3.12847789879267
"34",2022,"Fryslân (PV)",3.5,21135,654019,3.23155749297803
"35",2023,"Fryslân (PV)",3.6,21060,659551,3.19308135383011
"36",2024,"Fryslân (PV)",3.6,20590,661904,3.11072300514878
"37",2013,"Drenthe (PV)",8.1,23110,489918,4.71711592552223
"38",2014,"Drenthe (PV)",8.2,21470,488988,4.39070079429352
"39",2015,"Drenthe (PV)",8,20090,488576,4.1119498297092
"40",2016,"Drenthe (PV)",7,18660,488629,3.81884824682939
"41",2017,"Drenthe (PV)",6,16480,491792,3.35101018316687
"42",2018,"Drenthe (PV)",4.9,15675,492100,3.18532818532819
"43",2019,"Drenthe (PV)",4,17205,492167,3.49576464899109
"44",2020,"Drenthe (PV)",4.7,17915,493682,3.62885420169259
"45",2021,"Drenthe (PV)",3.6,16810,494771,3.39753138320556
"46",2022,"Drenthe (PV)",3.2,17510,497743,3.51787970900646
"47",2023,"Drenthe (PV)",3.1,16975,502051,3.38113060226949
"48",2024,"Drenthe (PV)",3.4,15725,504129,3.11924130530083
"49",2013,"Overijssel (PV)",8.1,60990,1139350,5.35305217887392
"50",2014,"Overijssel (PV)",8,54065,1139697,4.74380471300705
"51",2015,"Overijssel (PV)",7.7,50580,1140652,4.43430599341429
"52",2016,"Overijssel (PV)",7.2,48590,1144280,4.24633830880554
"53",2017,"Overijssel (PV)",5.9,43450,1147687,3.78587541725227
"54",2018,"Overijssel (PV)",4.7,42275,1151501,3.67129511828474
"55",2019,"Overijssel (PV)",4.2,43085,1156431,3.7256870492057
"56",2020,"Overijssel (PV)",4.6,44665,1162406,3.8424612398766
"57",2021,"Overijssel (PV)",3.7,41700,1166533,3.57469527222976
"58",2022,"Overijssel (PV)",3.2,46490,1171910,3.96702818475822
"59",2023,"Overijssel (PV)",3.3,43630,1184333,3.68393011087253
"60",2024,"Overijssel (PV)",3.4,43995,1189033,3.70006551542304
"61",2013,"Flevoland (PV)",10,26000,398441,6.52543287462887
"62",2014,"Flevoland (PV)",10.4,23335,399893,5.83531094567797
"63",2015,"Flevoland (PV)",8.6,21550,401791,5.36348499593072
"64",2016,"Flevoland (PV)",8.2,20830,404068,5.15507290852035
"65",2017,"Flevoland (PV)",6.6,18685,407818,4.58170066058879
"66",2018,"Flevoland (PV)",5.2,18205,411670,4.42223139893604
"67",2019,"Flevoland (PV)",4.6,19270,416546,4.62613973006583
"68",2020,"Flevoland (PV)",5,18875,423021,4.46195342548006
"69",2021,"Flevoland (PV)",4.8,16920,428226,3.95118465483179
"70",2022,"Flevoland (PV)",3.7,17325,434771,3.98485639566576
"71",2023,"Flevoland (PV)",3.7,17220,444701,3.87226473518162
"72",2024,"Flevoland (PV)",3.9,17530,450826,3.88841814802163
"73",2013,"Gelderland (PV)",7.7,112985,2015791,5.60499575600844
"74",2014,"Gelderland (PV)",7.9,102230,2019692,5.06166286740751
"75",2015,"Gelderland (PV)",7.4,95195,2026578,4.69732721859213
"76",2016,"Gelderland (PV)",6.6,92785,2035351,4.55867317234226
"77",2017,"Gelderland (PV)",5.5,81715,2047901,3.99018311920352
"78",2018,"Gelderland (PV)",4.6,76855,2060103,3.73063871078291
"79",2019,"Gelderland (PV)",4.1,82735,2071972,3.99305589071667
"80",2020,"Gelderland (PV)",4.5,84115,2085952,4.03245136992606
"81",2021,"Gelderland (PV)",3.8,79110,2096603,3.77324653260536
"82",2022,"Gelderland (PV)",3.3,82250,2110472,3.89723246742909
"83",2023,"Gelderland (PV)",3.2,79960,2133708,3.74746685113427
"84",2024,"Gelderland (PV)",3.3,79340,2149071,3.69182777116252
"85",2013,"Utrecht (PV)",7.4,79440,1245294,6.379216474182
"86",2014,"Utrecht (PV)",7.5,75820,1253672,6.04783388318476
"87",2015,"Utrecht (PV)",7.3,74175,1263572,5.87026303210264
"88",2016,"Utrecht (PV)",6.2,72070,1273613,5.65870480279331
"89",2017,"Utrecht (PV)",5.3,66560,1284504,5.18176665857016
"90",2018,"Utrecht (PV)",4.5,63445,1295484,4.89739742057795
"91",2019,"Utrecht (PV)",4,65570,1342158,4.88541587503111
"92",2020,"Utrecht (PV)",4.4,64250,1354834,4.74227838982488
"93",2021,"Utrecht (PV)",3.9,57535,1361153,4.22693113852741
"94",2022,"Utrecht (PV)",3.3,59435,1369873,4.33872337070663
"95",2023,"Utrecht (PV)",3.4,62015,1387643,4.4690889515531
"96",2024,"Utrecht (PV)",3.6,60350,1400057,4.3105387852066
"97",2013,"Noord-Holland (PV)",8.3,222530,2724300,8.16833682046764
"98",2014,"Noord-Holland (PV)",8.2,207610,2741369,7.57322345149449
"99",2015,"Noord-Holland (PV)",7.6,202670,2761929,7.33798732697329
"100",2016,"Noord-Holland (PV)",6.7,189710,2784854,6.81220631314963
"101",2017,"Noord-Holland (PV)",5.8,171760,2809483,6.11358032776849
"102",2018,"Noord-Holland (PV)",5,162985,2831182,5.75678285606506
"103",2019,"Noord-Holland (PV)",4.5,166930,2853359,5.85029784194698
"104",2020,"Noord-Holland (PV)",5.2,156670,2879527,5.44082413535279
"105",2021,"Noord-Holland (PV)",4.8,144990,2888486,5.01958465438295
"106",2022,"Noord-Holland (PV)",3.8,161575,2909827,5.55273560936784
"107",2023,"Noord-Holland (PV)",3.9,168695,2952622,5.7133964320526
"108",2024,"Noord-Holland (PV)",4,169585,2976487,5.69748834784093
"109",2013,"Zuid-Holland (PV)",9,254775,3563935,7.14869940108335
"110",2014,"Zuid-Holland (PV)",9.2,237745,3577032,6.64643201402727
"111",2015,"Zuid-Holland (PV)",8.8,224970,3600011,6.24914757204909
"112",2016,"Zuid-Holland (PV)",8,218565,3622303,6.03386850851516
"113",2017,"Zuid-Holland (PV)",6.5,197600,3650222,5.41336937862957
"114",2018,"Zuid-Holland (PV)",5.3,181550,3681044,4.93202471907426
"115",2019,"Zuid-Holland (PV)",5,190650,3673893,5.1893182517836
"116",2020,"Zuid-Holland (PV)",5.3,193930,3708696,5.22906164322986
"117",2021,"Zuid-Holland (PV)",4.9,180340,3726050,4.83997799278056
"118",2022,"Zuid-Holland (PV)",3.9,192075,3753944,5.11661868157863
"119",2023,"Zuid-Holland (PV)",3.9,192260,3804906,5.05295005973866
"120",2024,"Zuid-Holland (PV)",4,193940,3840460,5.04991589549169
"121",2013,"Zeeland (PV)",6.9,19120,381077,5.0173586965364
"122",2014,"Zeeland (PV)",6.5,17180,380621,4.51367633420121
"123",2015,"Zeeland (PV)",6.6,16840,380726,4.42312844407789
"124",2016,"Zeeland (PV)",5.5,15560,381252,4.08129006536359
"125",2017,"Zeeland (PV)",4.8,13540,381568,3.54851559879235
"126",2018,"Zeeland (PV)",4.1,12725,382304,3.32850297145727
"127",2019,"Zeeland (PV)",3.9,13490,383032,3.52189895361223
"128",2020,"Zeeland (PV)",4.2,14220,383488,3.70806909212283
"129",2021,"Zeeland (PV)",3.6,13535,385400,3.51193565127141
"130",2022,"Zeeland (PV)",2.9,14135,386767,3.65465512828137
"131",2023,"Zeeland (PV)",2.9,13560,391124,3.46693120340352
"132",2024,"Zeeland (PV)",2.9,14260,391634,3.64115475163035
"133",2013,"Noord-Brabant (PV)",7.6,164440,2471011,6.65476600468391
"134",2014,"Noord-Brabant (PV)",7.9,152130,2479274,6.13607047869659
"135",2015,"Noord-Brabant (PV)",7.5,145560,2488751,5.84871688650251
"136",2016,"Noord-Brabant (PV)",6.5,135220,2498749,5.41150791856245
"137",2017,"Noord-Brabant (PV)",5.4,118795,2512531,4.72810086721318
"138",2018,"Noord-Brabant (PV)",4.5,112580,2528286,4.45281902442999
"139",2019,"Noord-Brabant (PV)",4.2,119540,2544806,4.69741111896152
"140",2020,"Noord-Brabant (PV)",4.5,120340,2562955,4.6953614089986
"141",2021,"Noord-Brabant (PV)",3.5,113905,2573949,4.42530135600977
"142",2022,"Noord-Brabant (PV)",3.2,119240,2592874,4.59875798052663
"143",2023,"Noord-Brabant (PV)",3.3,120235,2626210,4.57827058765293
"144",2024,"Noord-Brabant (PV)",3.2,117060,2644739,4.42614564234883
"145",2013,"Limburg (PV)",8.1,77580,1121891,6.91511029146325
"146",2014,"Limburg (PV)",8.2,74285,1120006,6.63255375417632
"147",2015,"Limburg (PV)",7.6,68995,1117941,6.17161370770014
"148",2016,"Limburg (PV)",6.6,63025,1116260,5.64608603730314
"149",2017,"Limburg (PV)",5.7,56585,1117546,5.06332625234219
"150",2018,"Limburg (PV)",4.7,52330,1117198,4.68403989266003
"151",2019,"Limburg (PV)",4.3,54315,1116137,4.86633809290437
"152",2020,"Limburg (PV)",4.9,51270,1117201,4.58914734233142
"153",2021,"Limburg (PV)",3.8,48790,1115872,4.3723652892088
"154",2022,"Limburg (PV)",3.6,53275,1118302,4.76391886985805
"155",2023,"Limburg (PV)",3.5,53010,1128367,4.697939588804
"156",2024,"Limburg (PV)",3.6,52860,1133255,4.66444004217939
